Item,Cond,Critical,ContextSentence,TargetSentence,Target,Block,Plausible
141,filler_coherent,5,Gerade wollte die Maskenbildnerin mit dem Schminken beginnen.,"Sie entdeckte, dass der Lidschatten fast leer war.",Target,Block1,Yes
116,filler_incoherent,5,Gestern hat die Turnerin den Wettkampf verloren.,"Ihr Partner sagte, dass der Pokal auf dem Regal im Wohnzimmer gut aussehen werde.",Target,Block1,No
101,filler_coherent,5,Dieses Jahr wurde kein Mitarbeiter des Unternehmens befördert.,"Der Leiter berichtet, dass dem Unternehmen Gelder fehlten.",Target,Block1,Yes
147,filler_coherent,5,Das Pärchen grub jedes Frühjahr den Garten um.,"Dieses Jahr entdeckten sie, dass der Spaten aus dem Schuppen entwendet worden war.",Target,Block1,Yes
158,filler_incoherent,5,Wie immer hatte der Onkel am Samstag die Ballettaufführung seiner Nichte verpasst.,"Er schilderte, dass das Ballettstück doch sehr anspruchsvoll gewesen sei.",Target,Block1,No
12,A,5,Während der Nacht hat der Friseur das Dokument verbrannt.,"Er erfuhr, dass die Asche später zur Beweissicherung sichergestellt wurde.",Asche,Block1,Yes
142,filler_coherent,5,Der Gehilfe verrührte die Zutaten stets sehr sorgfältig.,"Seine Vorgesetzte musste ihn ermahnen, den Mixer vorsichtig zu bedienen.",Target,Block1,Yes
1,D,6,Kein Demonstrant wurde jemals im Zentrum getötet.,"Die Presse berichtet, dass die Pistole heute am Flussufer gefunden wurde.",Pistole,Block1,No
114,filler_coherent,5,"Diesen Sommer entschied sich der Abenteurer, nicht zu verreisen.","Er plante, dass die Renovierung seiner Wohnung im August stattfinden könnte.",Target,Block1,Yes
8,A,5,Letzten Monat hat der Mann einen Laden überfallen.,"Er sagte, dass die Waffe tatsächlich voll geladen gewesen war.",Waffe,Block1,Yes
133,filler_incoherent,5,Kein Passagier wurde vom Schaffner angesprochen.,"Der Schaffner fand, dass der Ruhestand ihm gut tat.",Target,Block1,No
