Item,Cond,Critical,ContextSentence,TargetSentence,Target,Block,Plausible
141,filler_coherent,5,Gerade wollte die Maskenbildnerin mit dem Schminken beginnen.,"Sie entdeckte, dass der Lidschatten fast leer war.",Target,Block1,Yes
116,filler_incoherent,5,Gestern hat die Turnerin den Wettkampf verloren.,"Ihr Partner sagte, dass der Pokal auf dem Regal im Wohnzimmer gut aussehen werde.",Target,Block1,No
101,filler_coherent,5,Dieses Jahr wurde kein Mitarbeiter des Unternehmens befördert.,"Der Leiter berichtet, dass dem Unternehmen Gelder fehlten.",Target,Block1,Yes
147,filler_coherent,5,Das Pärchen grub jedes Frühjahr den Garten um.,"Dieses Jahr entdeckten sie, dass der Spaten aus dem Schuppen entwendet worden war.",Target,Block1,Yes
158,filler_incoherent,5,Wie immer hatte der Onkel am Samstag die Ballettaufführung seiner Nichte verpasst.,"Er schilderte, dass das Ballettstück doch sehr anspruchsvoll gewesen sei.",Target,Block1,No
37,A,7,Letzte Nacht wurde in dem Reihenhaus auf dem Hügel eingebrochen.,"Die Mieter teilten mit, dass das Brecheisen später neben der Eingangstür gefunden wurde.",Brecheisen,Block1,Yes
160,filler_incoherent,5,Dieses Semester hat der Auszubildende die Abschlussprüfung verschlafen.,"Der Prüfer teilte mit, dass die Note eine glatte Eins sein würde.",Target,Block1,No
40,B,7,In diesem Semester hat die Studentin ihre Hausarbeit beendet.,"Sie war erleichtert darüber, dass das Plagiat von den Professoren unbemerkt blieb.",Plagiat,Block1,Yes
114,filler_coherent,5,"Diesen Sommer entschied sich der Abenteurer, nicht zu verreisen.","Er plante, dass die Renovierung seiner Wohnung im August stattfinden könnte.",Target,Block1,Yes
11,C,6,Die Villa am Stadtrand hat nie gebrannt.,"Die Nachbarn merkten, dass das Feuer schnell außer Kontrolle geriet.",Feuer,Block1,No
140,filler_coherent,5,Schließlich hatte die Autorin die Kurzgeschichte geschrieben.,"Sie überlegte, dass eine Shoppingtour eine gute Belohnung sein könnte.",Target,Block1,Yes
